1	4	1	3353126	2008-07-18 08:43:43	2008-07-18 08:43:43
2	28	1	2158270	2008-07-18 08:43:43	2008-07-18 08:43:43
3	29	1	2174742	2008-07-18 08:43:43	2008-07-18 08:43:43
244	4	5	91641355	2008-07-18 08:43:48	2008-07-18 08:43:48
349	4	2	0026-2838	2008-07-18 08:44:07	2008-07-18 08:44:07
350	28	2	0316-442X	2008-07-18 08:44:07	2008-07-18 08:44:07
351	29	2	0008-3550.	2008-07-18 08:44:07	2008-07-18 08:44:07
352	34	2	0076-4957	2008-07-18 08:44:07	2008-07-18 08:44:07
1147	5375	2	0097-5745 ;	2008-08-21 13:21:24	2008-08-21 13:21:24
