1526	900	610	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1527	901	12	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1528	901	959	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1529	901	1084	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1530	901	1085	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1531	901	1086	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1532	902	531	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1533	902	1087	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1534	902	1088	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1535	902	1089	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1536	902	1090	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1537	902	1091	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1538	902	1092	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1539	903	1093	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1540	903	1094	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1541	904	1095	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1542	904	1096	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1544	906	1098	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1545	907	1098	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1546	908	200	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1547	908	1099	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1548	908	1100	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1549	908	1101	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1550	909	16	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1551	909	435	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1552	909	436	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1553	909	504	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1554	909	1102	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1555	909	1103	4	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1556	910	656	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1557	910	825	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1558	910	1104	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1559	911	1043	1	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1560	911	1044	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1561	911	1105	5	2008-01-23 13:24:20	2008-01-23 13:24:20	1	1
1562	913	1107	1	2008-01-23 15:21:42	2008-01-23 15:21:42	1	1
1563	914	1108	1	2008-01-25 10:04:06	2008-01-25 10:04:06	1	1
1564	915	1109	1	2008-01-25 10:06:34	2008-01-25 10:06:34	1	1
1565	915	1110	4	2008-01-25 10:06:34	2008-01-25 10:06:34	1	1
1566	916	1111	1	2008-01-25 10:06:52	2008-01-25 10:06:52	1	1
1567	917	1112	1	2008-01-25 10:07:10	2008-01-25 10:07:10	1	1
1568	918	1113	4	2008-01-25 10:07:29	2008-01-25 10:07:29	1	1
1569	918	1114	4	2008-01-25 10:07:29	2008-01-25 10:07:29	1	1
1570	919	1115	1	2008-01-25 10:07:46	2008-01-25 10:07:46	1	1
1571	920	1116	1	2008-01-25 10:08:10	2008-01-25 10:08:10	1	1
1572	921	1117	1	2008-01-25 10:08:27	2008-01-25 10:08:27	1	1
1573	922	1118	1	2008-01-25 10:08:46	2008-01-25 10:08:46	1	1
1574	923	172	1	2008-01-25 10:09:05	2008-01-25 10:09:05	1	1
1575	924	282	1	2008-01-25 10:09:25	2008-01-25 10:09:25	1	1
1576	925	808	2	2008-01-25 10:09:51	2008-01-25 10:09:51	1	1
1577	925	1119	4	2008-01-25 10:09:51	2008-01-25 10:09:51	1	1
1578	925	1120	4	2008-01-25 10:09:51	2008-01-25 10:09:51	1	1
1579	925	1121	4	2008-01-25 10:09:51	2008-01-25 10:09:51	1	1
1580	926	1122	1	2008-01-25 10:10:09	2008-01-25 10:10:09	1	1
1581	927	1123	1	2008-01-25 10:10:48	2008-01-25 10:10:48	1	1
1582	927	1124	4	2008-01-25 10:10:48	2008-01-25 10:10:48	1	1
1583	927	1125	4	2008-01-25 10:10:48	2008-01-25 10:10:48	1	1
1584	927	1126	5	2008-01-25 10:10:48	2008-01-25 10:10:48	1	1
1585	928	1127	1	2008-01-25 10:11:04	2008-01-25 10:11:04	1	1
1586	929	1128	1	2008-01-25 10:11:22	2008-01-25 10:11:22	1	1
1587	929	1129	4	2008-01-25 10:11:22	2008-01-25 10:11:22	1	1
1588	929	1130	4	2008-01-25 10:11:22	2008-01-25 10:11:22	1	1
1589	930	1131	1	2008-01-25 10:11:58	2008-01-25 10:11:58	1	1
1591	931	1133	1	2008-01-25 10:12:14	2008-01-25 10:12:14	1	1
1592	932	1128	4	2008-01-25 10:12:52	2008-01-25 10:12:52	1	1
1593	932	1134	1	2008-01-25 10:12:52	2008-01-25 10:12:52	1	1
1594	933	1135	1	2008-01-25 10:13:15	2008-01-25 10:13:15	1	1
1595	934	1136	1	2008-01-25 10:13:31	2008-01-25 10:13:31	1	1
1596	935	1137	1	2008-01-25 10:13:51	2008-01-25 10:13:51	1	1
1597	936	1138	1	2008-01-25 10:14:09	2008-01-25 10:14:09	1	1
1598	937	1139	1	2008-01-25 10:14:29	2008-01-25 10:14:29	1	1
1599	938	1140	1	2008-01-25 10:14:46	2008-01-25 10:14:46	1	1
1600	939	1141	1	2008-01-25 10:15:25	2008-01-25 10:15:25	1	1
1601	939	1142	4	2008-01-25 10:15:25	2008-01-25 10:15:25	1	1
1602	940	282	1	2008-01-25 10:15:58	2008-01-25 10:15:58	1	1
1603	940	1143	4	2008-01-25 10:15:58	2008-01-25 10:15:58	1	1
1604	941	1144	1	2008-01-25 10:16:16	2008-01-25 10:16:16	1	1
1605	942	1145	1	2008-01-25 10:16:34	2008-01-25 10:16:34	1	1
1606	943	1146	1	2008-01-25 10:16:50	2008-01-25 10:16:50	1	1
1607	944	1147	1	2008-01-25 10:17:07	2008-01-25 10:17:07	1	1
1608	945	1148	1	2008-01-25 10:17:24	2008-01-25 10:17:24	1	1
1609	946	1149	1	2008-01-25 10:17:44	2008-01-25 10:17:44	1	1
1610	947	1150	1	2008-01-25 10:18:01	2008-01-25 10:18:01	1	1
1611	948	1151	1	2008-01-25 10:18:17	2008-01-25 10:18:17	1	1
1612	948	1152	4	2008-01-25 10:18:17	2008-01-25 10:18:17	1	1
1613	948	1153	4	2008-01-25 10:18:17	2008-01-25 10:18:17	1	1
1614	949	1154	1	2008-01-25 10:18:33	2008-01-25 10:18:33	1	1
1615	950	1155	1	2008-01-25 10:18:50	2008-01-25 10:18:50	1	1
1616	951	1156	1	2008-01-25 10:19:06	2008-01-25 10:19:06	1	1
1617	952	1157	1	2008-01-25 10:19:21	2008-01-25 10:19:21	1	1
1618	953	1158	2	2008-01-25 10:19:37	2008-01-25 10:19:37	1	1
1619	954	312	5	2008-01-25 10:20:13	2008-01-25 10:20:13	1	1
1620	954	1159	1	2008-01-25 10:20:13	2008-01-25 10:20:13	1	1
1621	955	312	5	2008-01-25 10:20:29	2008-01-25 10:20:29	1	1
1622	955	1160	1	2008-01-25 10:20:29	2008-01-25 10:20:29	1	1
1623	956	1161	1	2008-01-25 10:20:44	2008-01-25 10:20:44	1	1
1624	957	1162	1	2008-01-25 10:21:03	2008-01-25 10:21:03	1	1
1626	959	93	1	2008-01-25 10:21:38	2008-01-25 10:21:38	1	1
1627	960	1164	1	2008-01-25 10:21:54	2008-01-25 10:21:54	1	1
1628	961	1101	2	2008-01-25 10:22:09	2008-01-25 10:22:09	1	1
1629	961	1165	4	2008-01-25 10:22:09	2008-01-25 10:22:09	1	1
1630	961	1166	4	2008-01-25 10:22:09	2008-01-25 10:22:09	1	1
1631	961	1167	4	2008-01-25 10:22:09	2008-01-25 10:22:09	1	1
1632	961	1168	4	2008-01-25 10:22:09	2008-01-25 10:22:09	1	1
1633	961	1169	5	2008-01-25 10:22:09	2008-01-25 10:22:09	1	1
1634	962	1051	1	2008-01-25 10:22:24	2008-01-25 10:22:24	1	1
1635	962	1170	4	2008-01-25 10:22:24	2008-01-25 10:22:24	1	1
1636	963	1171	1	2008-01-25 10:22:48	2008-01-25 10:22:48	1	1
1637	964	1172	1	2008-01-25 10:23:05	2008-01-25 10:23:05	1	1
1638	964	1173	5	2008-01-25 10:23:05	2008-01-25 10:23:05	1	1
1639	965	1172	1	2008-01-25 10:23:21	2008-01-25 10:23:21	1	1
1640	967	1174	1	2008-01-25 10:23:55	2008-01-25 10:23:55	1	1
1641	968	1175	1	2008-01-25 10:25:02	2008-01-25 10:25:02	1	1
1642	969	1176	1	2008-01-25 10:25:19	2008-01-25 10:25:19	1	1
1643	969	1177	4	2008-01-25 10:25:19	2008-01-25 10:25:19	1	1
1644	970	1178	5	2008-01-25 10:25:37	2008-01-25 10:25:37	1	1
1645	972	1179	1	2008-01-25 10:26:13	2008-01-25 10:26:13	1	1
1647	974	1181	1	2008-01-25 10:26:47	2008-01-25 10:26:47	1	1
1648	975	1182	5	2008-01-25 10:27:03	2008-01-25 10:27:03	1	1
1649	976	1183	1	2008-01-25 10:27:19	2008-01-25 10:27:19	1	1
1650	976	1184	4	2008-01-25 10:27:19	2008-01-25 10:27:19	1	1
1651	977	155	5	2008-01-25 10:27:36	2008-01-25 10:27:36	1	1
1652	978	1185	4	2008-01-25 10:27:56	2008-01-25 10:27:56	1	1
1653	979	1186	1	2008-01-25 10:28:28	2008-01-25 10:28:28	1	1
1654	980	1187	2	2008-01-25 10:29:19	2008-01-25 10:29:19	1	1
1655	983	1188	1	2008-01-25 10:34:47	2008-01-25 10:34:47	1	1
1656	984	1189	5	2008-01-25 10:54:10	2008-01-25 10:54:10	1	1
1657	985	1190	3	2008-01-25 10:54:11	2008-01-25 10:54:11	1	1
1658	985	1191	4	2008-01-25 10:54:11	2008-01-25 10:54:11	1	1
