941	Animal behavior	650	a	2008-01-25 10:16:13	2008-01-25 10:16:13
941	Tropisms	650	a	2008-01-25 10:16:13	2008-01-25 10:16:13
942	Salmon	650	a	2008-01-25 10:16:30	2008-01-25 10:16:30
942	Salmon fisheries	650	a	2008-01-25 10:16:30	2008-01-25 10:16:30
942	Scotland	650	z	2008-01-25 10:16:30	2008-01-25 10:16:30
943	Botany	650	a	2008-01-25 10:16:46	2008-01-25 10:16:46
943	Fragilariaceae	650	a	2008-01-25 10:16:46	2008-01-25 10:16:46
943	Pennsylvania	650	z	2008-01-25 10:16:46	2008-01-25 10:16:46
943	Philadelphia	650	z	2008-01-25 10:16:46	2008-01-25 10:16:46
944	Embryology	650	a	2008-01-25 10:17:04	2008-01-25 10:17:04
944	Invertebrates	650	x	2008-01-25 10:17:04	2008-01-25 10:17:04
945	Protozoa	650	a	2008-01-25 10:17:21	2008-01-25 10:17:21
945	Protozoa, Pathogenic	650	a	2008-01-25 10:17:21	2008-01-25 10:17:21
946	Germ cells	650	a	2008-01-25 10:17:40	2008-01-25 10:17:40
946	physiology	650	x	2008-01-25 10:17:40	2008-01-25 10:17:40
946	ultrastructure	650	x	2008-01-25 10:17:40	2008-01-25 10:17:40
947	Botany	650	a	2008-01-25 10:17:57	2008-01-25 10:17:57
947	Northeastern States	650	z	2008-01-25 10:17:57	2008-01-25 10:17:57
948	North America	650	z	2008-01-25 10:18:13	2008-01-25 10:18:13
948	Zoology	650	a	2008-01-25 10:18:13	2008-01-25 10:18:13
949	Diatoms	650	a	2008-01-25 10:18:29	2008-01-25 10:18:29
949	Germany	650	z	2008-01-25 10:18:29	2008-01-25 10:18:29
951	Marine biology	650	a	2008-01-25 10:19:02	2008-01-25 10:19:02
951	Mediterranean Sea	650	z	2008-01-25 10:19:02	2008-01-25 10:19:02
952	Connecticut	650	z	2008-01-25 10:19:18	2008-01-25 10:19:18
952	Freshwater animals	650	a	2008-01-25 10:19:18	2008-01-25 10:19:18
952	Protozoa	650	a	2008-01-25 10:19:18	2008-01-25 10:19:18
953	Microscopes	650	a	2008-01-25 10:19:34	2008-01-25 10:19:34
953	Microscopy	650	a	2008-01-25 10:19:34	2008-01-25 10:19:34
953	Periodicals	650	v	2008-01-25 10:19:34	2008-01-25 10:19:34
954	America	650	z	2008-01-25 10:20:10	2008-01-25 10:20:10
954	Botany	650	a	2008-01-25 10:20:10	2008-01-25 10:20:10
954	Plants	650	a	2008-01-25 10:20:10	2008-01-25 10:20:10
955	Boraginaceae	650	a	2008-01-25 10:20:25	2008-01-25 10:20:25
955	Botany	650	a	2008-01-25 10:20:25	2008-01-25 10:20:25
955	North America	650	z	2008-01-25 10:20:25	2008-01-25 10:20:25
956	Botany	650	a	2008-01-25 10:20:41	2008-01-25 10:20:41
956	Florida	650	z	2008-01-25 10:20:41	2008-01-25 10:20:41
957	Paleontology	650	a	2008-01-25 10:21:00	2008-01-25 10:21:00
957	Permian	650	y	2008-01-25 10:21:00	2008-01-25 10:21:00
957	United States	650	z	2008-01-25 10:21:00	2008-01-25 10:21:00
957	Vertebrates, Fossil	650	a	2008-01-25 10:21:00	2008-01-25 10:21:00
958	Bolivia	650	z	2008-04-15 14:47:09	2008-04-15 14:47:09
958	Botany	650	a	2008-04-15 14:47:09	2008-04-15 14:47:09
958	Classification	650	x	2008-04-15 14:47:09	2008-04-15 14:47:09
958	Ecuador	650	z	2008-04-15 14:47:09	2008-04-15 14:47:09
958	Paullinia	650	a	2008-04-15 14:47:09	2008-04-15 14:47:09
958	Peru	650	z	2008-04-15 14:47:09	2008-04-15 14:47:09
959	Evolution	650	a	2008-01-25 10:21:34	2008-01-25 10:21:34
959	Natural selection	650	a	2008-01-25 10:21:34	2008-01-25 10:21:34
960	Botany	650	a	2008-01-25 10:21:50	2008-01-25 10:21:50
960	Juniperus saltillensis	650	a	2008-01-25 10:21:50	2008-01-25 10:21:50
960	Mexico	650	z	2008-01-25 10:21:50	2008-01-25 10:21:50
961	Challenger Expedition, 1872-1876	610	a	2008-01-25 10:22:06	2008-01-25 10:22:06
961	Scientific expeditions	650	a	2008-01-25 10:22:06	2008-01-25 10:22:06
962	America	650	z	2008-01-25 10:22:21	2008-01-25 10:22:21
